shape_id,distance_km,pack_used_kwh_heavy_duty,pack_used_kwh_medium_duty,kwh_per_km_heavy_duty,kwh_per_km_medium_duty,route_id,route_short_name,route_long_name,route_direction
307414,20.422275993581856,53.82575781210539,34.242385125765885,2.6282502605953764,1.6767173813793967,6622,016,29th Avenue Station/Arbutus,WEST
307415,20.462265463413267,53.60817190604062,32.824220513724335,2.6035503332260785,1.6041342329574584,6622,016,29th Avenue Station/Arbutus,WEST
307416,20.345251501467196,53.82575781210539,33.61743778645443,2.6282502605953764,1.6523481060939509,6622,016,29th Avenue Station/Arbutus,WEST
307417,21.710065404156826,56.868023043794615,34.96501575309121,2.61945454648699,1.6105440081445566,6622,016,29th Avenue Station/Arbutus,WEST
307418,21.653386433773036,56.645286022126434,35.24098170082621,2.5982819542804987,1.6275044002290766,6622,016,29th Avenue Station/Arbutus,WEST
307421,10.546646184130768,27.442549498750296,17.771729163243567,2.6014654449345107,1.6850597671498804,6623,017,Downtown/Oak,NORTH
307422,12.5668384578652,31.6946780737252,19.850735931241964,2.520041715563944,1.5796125650694581,6623,017,Downtown/Oak,SOUTH
307423,13.115580140963047,32.751449711240454,20.25631083333218,2.5015688974933457,1.5444464229277168,6623,017,Downtown/Oak,SOUTH
307424,12.546630184530434,31.6946780737252,19.413161198684993,2.520041715563944,1.547280896397246,6623,017,Downtown/Oak,SOUTH
307425,13.088167810685519,32.751449711240454,20.584699907198676,2.5015688974933457,1.572771697685049,6623,017,Downtown/Oak,SOUTH
307427,15.030384793015877,48.38766847810552,,3.2193233336640636,,6624,019,Metrotown Station/Stanley Park,EAST
307428,8.960529836427451,29.77968442466032,19.971009695248252,3.302932595260729,2.22877553669423,6624,019,Metrotown Station/Stanley Park,EAST
307429,3.2112785079792023,10.575326950818093,7.16553333020966,3.2651881037032475,2.2313646457026852,6624,019,Metrotown Station/Stanley Park,EAST
307430,12.412939701781779,42.01267338878794,28.00810677612025,3.361703902641958,2.2563637179434544,6624,019,Metrotown Station/Stanley Park,EAST
307431,15.030384793015877,48.38766847810552,,3.2193233336640636,,6624,019,Metrotown Station/Stanley Park,EAST
307432,15.030384793015877,48.38766847810552,,3.2193233336640636,,6624,019,Metrotown Station/Stanley Park,EAST
307433,2.818688336010426,7.63411276575287,,2.708391938272324,,6624,019,Metrotown Station/Stanley Park,EAST
307436,3.3253339793005705,8.38244724158552,5.091752706094149,2.496437390300287,1.5312003960471712,6624,019,Metrotown Station/Stanley Park,WEST
307437,12.932096188076088,31.7591942269479,18.624567581129845,2.4530424202285186,1.4401816465224289,6624,019,Metrotown Station/Stanley Park,WEST
307438,11.860795237327581,28.35363473414504,16.434293614710832,2.381358903886439,1.3855979540890995,6624,019,Metrotown Station/Stanley Park,WEST
307439,3.3639604353950534,10.139164488763166,6.437658869815456,3.0011082690542126,1.9137142048638383,6624,019,Metrotown Station/Stanley Park,WEST
307440,14.841567978070406,36.6768759755736,21.522310820036186,2.45109709891486,1.4501372666174561,6624,019,Metrotown Station/Stanley Park,WEST
307441,14.831666263350737,36.6768759755736,21.680217951369183,2.45109709891486,1.4617520086021163,6624,019,Metrotown Station/Stanley Park,WEST
307442,14.840991414487917,36.684474107476255,21.65674252986253,2.4508375718371354,1.4592517389856456,6624,019,Metrotown Station/Stanley Park,WEST
307445,2.596014315496819,9.840773202830542,7.021405311140771,3.7833315566425334,2.7046866688009885,6625,020,Victoria/Downtown,NORTH
307446,10.421077704110754,27.623621438008012,16.230835461891207,2.6372352602373264,1.5575006657410015,6625,020,Victoria/Downtown,NORTH
307447,9.002708058534928,23.54491150847628,13.68343429647086,2.608047019681008,1.5199242502924901,6625,020,Victoria/Downtown,NORTH
307448,11.478673668177377,32.78223068814717,20.1046132628868,2.8473651452950945,1.751475287482328,6625,020,Victoria/Downtown,NORTH
307449,1.8075391187690868,4.854271432119757,2.9948963882525317,2.6631205959486643,1.656891603149381,6625,020,Victoria/Downtown,SOUTH
307450,11.747783761469885,37.852688175692826,24.058093928164766,3.2156917195453687,2.047883619297621,6625,020,Victoria/Downtown,SOUTH
307451,2.764456948694715,4.859332344198214,2.4892974237836873,1.7402681401347202,0.900465252301741,6625,020,Victoria/Downtown,SOUTH
307452,9.82466722148158,33.092024649259045,21.524434807479285,3.3488012040521657,2.190856374291867,6625,020,Victoria/Downtown,SOUTH
307453,10.340726636928142,34.20742984258706,21.66825137725333,3.2948777620538854,2.0954283135068144,6625,020,Victoria/Downtown,SOUTH
307454,12.144720665513741,36.72213265157226,23.040036562016276,3.0002906011306263,1.8971236306357355,6625,020,Victoria/Downtown,SOUTH
307455,12.601244162455266,37.85813909289585,23.43695793124898,2.9720049127993384,1.8598923748401086,6625,020,Victoria/Downtown,SOUTH
307456,12.198912239937071,36.72213265157226,22.557118036449182,3.0002906011306263,1.8491089691260494,6625,020,Victoria/Downtown,SOUTH
307457,12.63705721434654,37.85813909289585,23.618521530694665,2.9720049127993384,1.8689890478521487,6625,020,Victoria/Downtown,SOUTH
307458,2.439405196997072,3.628922847195489,1.5450031692956503,1.4855947226980468,0.6333524136119584,6626,022,Knight/Downtown,EAST
307459,5.81404693203365,15.496943453065958,10.070729607163047,2.670748803129891,1.7321376529790904,6626,022,Knight/Downtown,EAST
307460,13.771385017824567,32.58468638305221,20.47714700327262,2.3580571349453554,1.4869344642364335,6626,022,Knight/Downtown,EAST
307462,11.079149602633631,30.936015723554,19.202332978161913,2.7652259542869313,1.7331955670674684,6626,022,Knight/Downtown,EAST
307463,11.216435621500194,32.901447074839346,20.92891223980649,2.9353280094284337,1.8659147117725137,6626,022,Knight/Downtown,EAST
307464,11.368309632974004,33.01700718236522,20.432676327516454,2.8952936291481146,1.7973363663715736,6626,022,Knight/Downtown,EAST
307465,11.178808070582232,32.901447074839346,20.391639459782372,2.9353280094284337,1.8241336044979886,6626,022,Knight/Downtown,EAST
307466,11.317028497604555,33.01700718236522,20.322249262779344,2.8952936291481146,1.7957230793472774,6626,022,Knight/Downtown,EAST
307467,11.230186204349259,32.99003905791604,20.319595123261337,2.93071461273979,1.8093729483658878,6626,022,Knight/Downtown,WEST
307468,8.7498159454883,22.465001349292784,12.99323543708368,2.542626443011974,1.4849724289095965,6626,022,Knight/Downtown,WEST
307470,10.968772751827748,31.522954154731142,19.639679653240496,2.8642290387557012,1.7905083911933446,6626,022,Knight/Downtown,WEST
307471,11.216631604252251,32.997968886822285,20.54685076857965,2.9301977499531295,1.8318200591334648,6626,022,Knight/Downtown,WEST
307472,15.110038350629601,39.77780776679049,25.759592791955892,2.6254544729494813,1.7047999610724052,6626,022,Knight/Downtown,WEST
307473,5.376971145534521,14.482747409384249,8.521859196022346,2.649236902361176,1.5848809609290166,30055,023,Main St Station/English Bay,EAST
307474,5.270194329829899,14.798031592264723,9.608330919480872,2.7897314255655066,1.8231454701957812,30055,023,Main St Station/English Bay,WEST
307475,17.086139929874555,37.76567233397556,,2.2103103737283294,,6627,025,Brentwood Station/UBC,EAST
