shape_id,distance_km,pack_used_kwh_heavy_duty,pack_used_kwh_medium_duty,kwh_per_km_heavy_duty,kwh_per_km_medium_duty,route_id,route_short_name,route_long_name,route_direction,Asset Class,Depot Code
310000,8.705016029793349,25.79793976089801,17.640822857779614,2.963571769724867,2.026512392097042,6636,049,Metrotown Station/Dunbar Loop/UBC,EAST,60-ft,RTC
310002,10.38132766657798,29.10299669637012,19.273088391761377,2.803398335076674,1.856514793749344,6636,049,Metrotown Station/Dunbar Loop/UBC,EAST,60-ft,RTC
310004,22.028306648435382,49.24849332575787,32.053439526141915,2.23569129083537,1.4551022935037357,6636,049,Metrotown Station/Dunbar Loop/UBC,WEST,60-ft,RTC
310005,11.380961935992236,26.78319695816346,16.494912827235403,2.353333321804876,1.4493425880874202,6636,049,Metrotown Station/Dunbar Loop/UBC,WEST,60-ft,RTC
310011,9.458668403656128,22.132594316306356,13.630048478100408,2.3399270776583396,1.4410113449829667,6636,049,Metrotown Station/Dunbar Loop/UBC,WEST,60-ft,RTC
310012,8.110663582539404,20.738909551496704,13.161052484300107,2.5569929439735763,1.6226850430133923,6637,050,Waterfront Station/False Creek South,NORTH,40-ft,VTC
310013,6.837103985494134,17.819736313332346,11.63666356422002,2.6063281107233984,1.7019872140176335,6637,050,Waterfront Station/False Creek South,NORTH,40-ft,VTC
310014,6.970821156564907,18.787698763982856,11.871526779031102,2.695191619754751,1.7030313233399856,6637,050,Waterfront Station/False Creek South,SOUTH,40-ft,VTC
310015,7.0465500613299685,19.55450547974923,12.29832626716577,2.7750466979664807,1.7452975087279206,6637,050,Waterfront Station/False Creek South,SOUTH,40-ft,VTC
310016,6.954398770907739,18.787698763982856,11.722774646549125,2.7015561492644387,1.6856632805683909,6637,050,Waterfront Station/False Creek South,SOUTH,40-ft,VTC
310017,7.063442570038794,19.55450547974923,12.207513800387648,2.7684100615037397,1.7282668726109005,6637,050,Waterfront Station/False Creek South,SOUTH,40-ft,VTC
310018,6.9520478938844095,18.787698763982856,11.542483889694982,2.7024696968083397,1.6602998232864155,6637,050,Waterfront Station/False Creek South,SOUTH,40-ft,VTC
310019,7.066866267436215,19.55450547974923,12.253381609870573,2.76706884490732,1.7339201204830457,6637,050,Waterfront Station/False Creek South,SOUTH,40-ft,VTC
310020,6.586363701433853,12.70812937349024,8.683223140583548,1.9294606173545619,1.318363748830513,33538,068,UBC Exchange/Wesbrook Village,NORTH,28-ft Shuttle,XHT
310021,5.567010489710945,10.21902361531094,7.130560853266445,1.8356393676997615,1.2808599636097835,33538,068,UBC Exchange/Wesbrook Village,SOUTH,28-ft Shuttle,XHT
310022,6.96999263300376,14.927110190956627,9.93277485542398,2.141624959583881,1.4250768083155623,45596,080,Marine Dr Station/River District,EAST,40-ft,VTC
310023,7.270650126294884,15.420529257785594,10.425002530034035,2.120928526324768,1.4338473656339459,45596,080,Marine Dr Station/River District,WEST,40-ft,VTC
310024,13.593525359813546,27.343935842574663,16.875425438939978,2.011541165282361,1.241431121968455,6638,084,UBC/VCC-Clark Station,EAST,60-ft,VTC
310025,13.4558697571223,35.01454109603354,24.585096283815297,2.602175981786689,1.8270908330397748,6638,084,UBC/VCC-Clark Station,WEST,60-ft,VTC
310026,13.66658044594923,29.795815717556035,18.297848511506963,2.180195392358555,1.3388754109979604,6641,099,Commercial-Broadway/UBC (B-Line),EAST,60-ft,BTC
310027,8.781643691307705,24.464667527820957,15.586388041521374,2.7858870603047476,1.7748827656204247,6641,099,Commercial-Broadway/UBC (B-Line),EAST,60-ft,BTC
310028,16.86367489798488,35.524635646981466,22.43135915761632,2.1065773540989263,1.3301584199952023,6641,099,Commercial-Broadway/UBC (B-Line),EAST,60-ft,BTC
310029,13.60197474425826,29.795815717556035,18.25031824241977,2.1905507308880723,1.341740341792922,6641,099,Commercial-Broadway/UBC (B-Line),EAST,60-ft,BTC
310030,16.893062715827448,35.524635646981466,22.389648314692906,2.1029126715842787,1.3253753147862049,6641,099,Commercial-Broadway/UBC (B-Line),EAST,60-ft,BTC
310031,13.86831394805976,36.09457933766882,24.62738520476673,2.602665289584003,1.7758024008543745,6641,099,Commercial-Broadway/UBC (B-Line),WEST,60-ft,BTC
