shape_id,distance_km,pack_used_kwh_heavy_duty,pack_used_kwh_medium_duty,kwh_per_km_heavy_duty,kwh_per_km_medium_duty
56599_RTC,0.504909966956921,0.8271364283032974,0.6465808727477419,1.6381859785585668,1.2805864709795047
RTC_58279,7.379320975437585,10.636032961683705,7.620330973752247,1.4382399277478026,1.0326601863663167
59982_60483,0.7251722804679042,1.7030916822404503,1.1713763575917582,2.3466041901168957,1.6153076850041055
56647_RTC,2.9499367004527235,3.637621355157955,2.7377664329008344,1.2383326214583672,0.9280763321059304
HTC_52356,2.662509065259561,3.576789950322877,2.6027254674236726,1.3431205077293014,0.9775461429912314
56669_RTC,19.27116501472053,22.82106355661997,18.342800006345698,1.1834730861538783,0.9518262124959395
RTC_61430,9.851781548370269,11.844701005135661,9.491971836276294,1.2018408529095963,0.9634777009287729
61321_61767,25.67840869004052,28.800053770016998,23.287779405627024,1.1198997549485703,0.9069011902851787
50757_RTC,11.523937108375552,12.154102147574516,9.302459256474341,1.059065035968728,0.8072292627936463
RTC_61323,9.997378014101693,11.873675842265033,9.461420857807733,1.1875008220940477,0.946390227963975
56600_60483,7.011852949216516,10.716444930488308,7.535908333504604,1.521754795320057,1.0747385018030997
RTC_56875,4.804609922710691,6.385333360215734,4.679328446341602,1.3285063464610085,0.9739247351222204
RTC_54990,29.287304147021292,40.554381133997566,31.928804174695774,1.3831752626570524,1.0901926655459389
RTC_59982,7.425850174625678,10.822903675959374,7.579520681211611,1.4541713028493493,1.0206939950271323
55383_RTC,28.826889042486467,28.590630802536285,22.283671143434976,0.9925703073617229,0.7730168562619512
52692_RTC,18.535143076368445,20.068892916962508,13.49393857525707,1.0834020973182383,0.7280191212800129
RTC_56088,28.182882624484687,32.294230274716554,26.869491161866883,1.1460164465905918,0.9533975470104411
RTC_56600,1.006457056404353,1.763905110026184,1.2454924587226748,1.7515443626641365,1.2375018395442472
53104_54990,5.504614722849914,13.485560565316925,10.230948004827583,2.4688090201848727,1.858612912972535
56517_61326,12.265232411393018,20.926213417006004,14.283944563207445,1.7016383823667882,1.1645881695596139
RTC_56599,0.4723086253878048,0.7490229145192818,0.5768006922970592,1.585876001955864,1.221236838144672
RTC_56647,3.255235994218493,4.350978663276961,3.1479951529640986,1.3465653675800882,0.9670558935066885
RTC_56517,7.8655330491251085,11.022475162462813,8.004001871479373,1.400738332819589,1.0176045058217214
56082_RTC,30.261089566839257,32.9917296195429,27.164828482587232,1.0906657677676972,0.8976817712589908
60482_58065,15.044375732782717,27.030979158385126,18.980206490290584,1.7930470079129495,1.2616147607196107
56517_60483,8.471075484085983,12.960652206480425,8.926520285708786,1.5223097879638525,1.0537646964046556
56713_RTC,1.5494164346763697,1.830393122562785,1.4192820114516738,1.1813435572245647,0.9160106861446339
58194_59982,8.252661889870026,13.13288199475855,9.236859942667145,1.58874278611374,1.1192582546008825
RTC_56714,1.2091762722060535,1.7144286557218067,1.314428655721807,1.417848410632436,1.087044698060216
56596_RTC,2.93312008037756,3.6005334989716578,2.7699779434161034,1.227543844201628,0.9443793187831381
56517_RTC,8.429066491576373,11.32436480433071,8.267041499712562,1.341332224119111,0.9807778249197902
61321_56647,10.500668830421159,12.30060897168825,9.67640184080178,1.1683735311666203,0.9215033820292075
RTC_56280,28.65072025095822,37.33288356095135,31.04593923171949,1.3027891954751993,1.083600655054428
RTC_56856,2.84137470808592,3.6114138724662648,2.6920423459342055,1.2752429325891648,0.9474436223681628
56451_RTC,7.397752924832361,10.652813449972218,7.683333645043854,1.4372706180572477,1.0386037115747502
60482_56517,8.094866493498941,13.749239221826974,9.39912668317331,1.690054821827132,1.1611218901166354
RTC_61577,9.134135115116358,14.091490289259605,9.799027314696115,1.5357845434212383,1.0727920258678247
61577_58279,3.281772509771838,6.8682376068326905,4.472008445674773,2.075957902483376,1.362680817259233
RTC_55383,29.16054023858238,38.14241351272577,31.818122340941617,1.3082475727413756,1.091136243725793
59526_53989,2.0092595071003223,4.655850491667274,4.0492312906939825,2.3343986545432456,2.0152853707471867
BTC_50892,4.826579986158976,9.72524323895595,7.0850207075114655,2.0007076589661437,1.4679173924039268
BTC_59664,4.412285184904615,10.808494113330413,8.647221634521852,2.45152113026556,1.9598056952678113
BTC_51603,4.722708293385024,10.613714029252671,8.352604365965414,2.248668533136404,1.7686047596174197
BTC_54060,10.519153824438522,15.411579379604792,12.016675269580494,1.4638668131901758,1.1423613980872558
BTC_54475,10.214106707847233,20.98781037222685,18.2120969668706,2.050674260185414,1.7830337481082628
50405_BTC,8.569286099082325,18.220047828052753,11.690282672814586,2.133033475486348,1.3642073024106973
58143_BTC,1.146357020198249,0.13980289257104056,-0.4274928744666993,0.12204501978467096,-0.3729142552751755
BTC_50980,9.250479056170414,13.19166431428195,9.524034560401462,1.4303173683456998,1.0295720364934589
60256_52751,7.206304287605638,12.895173637426629,9.531583587298556,1.784775419808614,1.3226729273272908
61802_BTC,2.380098629380074,3.277241945868369,1.9754715650313752,1.3841431133526263,0.8299956735599276
BTC_58249,4.112323419331861,10.257641954402251,8.009479911176633,2.492965831831746,1.9476775278725411
BTC_58363,7.341313245234333,12.964890425925216,9.850345251747251,1.7648833456041821,1.3417688256446045
BTC_54299,17.04360396125252,26.95429529933952,22.699231399614554,1.5809369806763072,1.33183283601401
61070_50980,6.234127529675447,7.1022585785378585,4.359497353503535,1.13613751965272,0.6992955041024792
61338_BTC,14.538750733598969,24.984932314370788,17.366419857896005,1.7260891473739266,1.1944918910922868
BTC_54390,13.320427663317908,18.064025424229428,14.895217698515737,1.3552817316183248,1.1182236843291842
58363_58431,3.7222012142331597,4.965789308771159,3.4196994532943874,1.3294785594356957,0.918730411515087
60473_58736,2.5944704018783287,4.8578937296642,3.3681827913662357,1.8555548158802684,1.2982159245014935
60473_BTC,8.828472484670332,13.704629484415431,9.92580171810001,1.5509529252313452,1.124294348239185
BTC_58378,5.897650790327933,14.695967713393093,11.504355471060167,2.4739587415266917,1.9506674572742002
51722_BTC,4.090076936592288,4.180658945931407,1.8286780357130317,1.023332096393736,0.4471011338081634
BTC_54272,11.053209876887058,23.458510689207767,20.58738317636149,2.1258048474249507,1.862570547892244
51470_BTC,1.2531480777022412,0.5935228995737194,,0.4736255117288266,
59518_60686,8.436443740888619,10.248068098855452,7.551531132906881,1.21991062821814,0.895108337688206
60256_BTC,4.600344779037383,7.565291717685259,5.726359295431814,1.6330915121386436,1.2447674186346633
BTC_53977,8.515021402273357,16.308956033561948,13.744871249706348,1.9122489741075832,1.6141910396181407
54179_BTC,8.719571153346218,7.403480664290898,4.982578768703392,0.8469189257871905,0.5714247502632375
58363_58736,22.919209694752748,27.17082651430351,21.443895858729675,1.185391242054237,0.9356298120366323
52692_BTC,7.000535319149253,8.152320361789148,,1.164528138225273,
58736_BTC,13.033837373669682,18.622056183348423,14.543198435294853,1.4290431984027485,1.1158032756089398
BTC_54018,8.510182824976011,16.355883982271845,13.916769834982631,1.9245526444912227,1.6353079741294347
58736_54475,4.398387066748394,16.207934737726795,13.489034912806282,3.6733795676423635,3.066813972508871
54592_60160,20.82103069099841,37.312433995834574,26.857344732819353,1.7973247871123281,1.2899142761664837
BTC_61070,6.968883823609744,13.128459621244806,10.678943702002753,1.8854491872773416,1.5323750506248606
51695_BTC,1.282605941879956,0.6244244993697688,,0.48684048543742914,
60685_BTC,4.502909889104408,7.410082218212668,5.759732177066761,1.6465338655180815,1.2791133553446092
BTC_52588,5.228590708229175,8.800846518852254,6.742278546125616,1.6798904204008729,1.2895020708953326
BTC_51695,1.3450947512986873,4.143453595143045,3.357670884106388,3.0708278269625318,2.4962337269285757
BTC_54290,17.346000301325578,33.08809744555742,28.803541906274358,1.9054362047088147,1.6605293096918254
BTC_60687,4.734933103411982,5.714287471394475,4.084917175662678,1.206826716015623,0.8627190894669866
58043_50405,7.180418942335593,14.457026476754207,8.931722037879734,1.996260274975195,1.2438998489654267
59526_60479,0.5801110923512777,0.8334304325042124,0.6028748769486567,1.4366738431533748,1.0392403884316606
BTC_58043,1.3927387896809378,4.200870582498308,3.449463503003566,3.0250561059337127,2.476748352642496
BTC_61510,14.11499304160102,18.156663467440648,14.623264572671772,1.2865132699582078,1.0360093362832505
54272_BTC,11.008973733076646,7.206264684165834,4.181952275403777,0.6547338414300055,0.3798675859166628
BTC_54172,7.317836463021226,12.554062953396903,9.633171009826789,1.7167769972303877,1.3163960493658886
BTC_54197,9.86304840139535,18.96071472651747,14.369331738431715,1.9258267794927935,1.4568854530206756
BTC_54592,18.949561091538776,24.90473824085384,20.63244072975083,1.313479619945151,1.088808370287979
BTC_60255,4.909679627703251,5.929962096537938,4.320553132397335,1.2077472870570867,0.8800071409992368
60482_RTC,7.459912150031648,10.904287467481192,7.7706927708164155,1.4540479718198314,1.0416600912362552
60479_BTC,9.382394983181907,8.319987158001135,,0.886765817567353,
60684_59832,9.300173436320375,18.56961891832223,12.896945738109535,1.99209497446152,1.3867424974831681
BTC_53970,8.792749057885889,17.750527487145366,14.714729201468364,2.0106248098649133,1.6735072392713486
BTC_58736,11.116108758302778,17.20773024561363,12.081800542141629,1.551944069333704,1.0868731860074292
RTC_54839,5.704462834629021,7.171141231735983,5.454762847550172,1.2558282740663589,0.9562272567430815
58043_BTC,1.192445439681212,0.42213678257990483,,0.35400930602976577,
58265_60689,9.973630934416246,15.912230083121509,10.631212698669222,1.590189521883758,1.0659320330356163
RTC_56421,8.373721218862515,10.940810076856842,7.873115921254613,1.3043646515734209,0.9402171048541422
RTC_57359,17.060393486015514,23.746475300605102,19.0940758397851,1.391316383209038,1.119204891460247
58065_RTC,20.75317808030911,29.77984424065041,20.77324602436423,1.4375424052734322,1.0009669817305795
RTC_56673,7.543881726113732,8.756630428880845,7.0945608750390585,1.1604977252550215,0.9404390382315626
58265_60255,10.016995795489295,15.939309366643768,10.621191815883499,1.583009477772846,1.0603170883496105
60479_59526,0.7593033722731628,1.8250583890447065,1.1546616382352635,2.366244299721506,1.5206855130624506
BTC_60684,5.098627828792584,6.376732484024394,4.728655273809077,1.2537485828137125,0.9274368384187159
56958_RTC,11.293728103841092,11.860268613075155,9.699157501964022,1.0501641711244472,0.8588091915073869
56138_RTC,30.09417227935586,29.96841207592503,,0.9958211110688331,
56599_56958,10.383988390386971,13.486422198013235,10.652686615166857,1.2975395583940619,1.0258762062011388
51818_BTC,4.6987502239822385,5.075444414894188,,1.080169017920833,
58736_54290,7.813406194423514,22.57628328580965,19.728660056658917,2.8979614896395303,2.524975608043955
BTC_58431,10.848626261953452,17.26308769781768,12.85623400109447,1.584576728171156,1.185056401673802
54020_BTC,8.356696190518873,7.920029560302999,4.766083503236014,0.949877431816603,0.5703310727801012
54290_54444,13.614852744812733,11.502645575671854,5.619872299725527,0.8459076373180646,0.41277510708786047
60689_54444,10.104115448611962,18.897355654434147,13.0608537814975,1.8846431831493236,1.2926271327681351
54990_RTC,31.0895190949162,35.87526298926134,27.402951051645392,1.153634415076756,0.8814208726736581
RTC_56394,23.181320007420247,30.76654305515525,25.49672841933519,1.326992513108458,1.0998825093296583
56621_60483,1.2107125077323662,2.6100902949312696,1.5933819330822423,2.1566052401940574,1.3160696060426487
61321_58279,4.311737279106465,7.976504036793151,5.388992373726753,1.8523082294203392,1.2498424706533906
BTC_60256,5.134966175834385,6.403967650283699,4.595678876564585,1.251655319370196,0.8949774388373316
60684_BTC,4.511384003802968,7.257144314024528,5.322870673657521,1.6056447411422146,1.1798753263234725
BTC_54053,12.609851340522603,16.510416534255377,12.64067953582245,1.3106649361962879,1.0024447707167474
54053_BTC,13.236094258871336,18.047706707758607,13.235126471569918,1.3547680278105148,0.9999268827130957
59518_54444,18.593649397825125,29.354113296220635,21.009838334938674,1.5824121849256978,1.1299469988605986
