shape_id,distance_km,pack_used_kwh_heavy_duty,pack_used_kwh_medium_duty,kwh_per_km_heavy_duty,kwh_per_km_medium_duty,depot_code,record_type,from_stop_name,to_stop_name
58086_PCT,10.987899890617213,12.812534766733938,9.938674365196244,1.1660585639003516,0.904510822280341,PCT,pullin,Braid Station @ Bay 6,PCT
PCT_52373,18.37689905423097,27.184889731655037,20.406161275019866,1.4792968961428872,1.1104246268535545,PCT,pullout,PCT,22nd Street Station @ Bay 5
53104_54909,3.6234072016481895,8.890242830797382,7.666225957561642,2.453558856634565,2.1157505990699814,STC,interline,Scott Road Station @ Bay 1,Eastbound 96 Ave @ Scott Rd
STC_55128,9.235413486783974,14.804948847925916,10.58329281733942,1.603062913112882,1.1459468309117162,STC,pullout,STC,Guildford Exchange @ Bay 1
54990_55836,0.923114084020964,2.2342562817628577,1.6068746441583428,2.420346867670711,1.7407107875106915,STC,interline,King George Station @ Bay 2,Surrey Central Station @ Bay 3
STC_55835,8.975999575722817,9.94292472360858,6.438101566292899,1.1077233950078367,0.7172573385259383,STC,pullout,STC,Scott Road Station @ Bay 9
PCT_58085,10.966584517831407,15.6203532620585,11.776734960465044,1.424358991321334,1.0738744539210316,PCT,pullout,PCT,Braid Station @ Bay 5
PCT_58158,14.982700785166829,25.628313904180583,19.84312657759044,1.7105269785240003,1.3244025134130375,PCT,pullout,PCT,Westbound 8th Ave @ New Westminster Secondary
STC_61760,15.557982491183514,25.490298511874624,19.1513720359584,1.638406427460605,1.230967578656886,STC,pullout,STC,White Rock Centre @ Bay 10
57188_STC,19.071894462761804,31.530786095565823,24.30107343443851,1.6532592583883166,1.274182461626283,STC,pullin,Langley Centre @ Bay 6,STC
58223_55713,6.216690751430934,9.65959070845494,6.635858254241006,1.5538155418510295,1.0674261467346737,STC,interline,Eastbound 88 Ave @ 156 St,Surrey Central Station @ Bay 5
61058_PCT,14.565917073777408,17.940956585053865,13.293741132892164,1.2317079998589613,0.9126607727861156,PCT,pullin,Haney Place @ Bay 7,PCT
61997_PCT,2.2772986453048305,3.299957473345552,2.4018437011532585,1.449066629951748,1.054689821251686,PCT,pullin,Westbound Kingsway Ave @ Mary Hill Bypass,PCT
56395_57027,21.769062711969536,27.001226182972147,20.05123448878368,1.2403485873613542,0.9210885537005081,STC,interline,Surrey Central Station @ Bay 1 Unloading Only,Langley Centre @ Bay 3
STC_55378,15.386620186562478,21.663958246391108,15.796484334454986,1.4079738099541046,1.026637698397888,STC,pullout,STC,Westbound 16 Ave @ King George Blvd
54990_STC,5.878920886156564,9.707524219646558,6.900387378025299,1.651242533728499,1.1737506783386118,STC,pullin,King George Station @ Bay 2,STC
55456_STC,2.5800748492300807,4.387840079882836,2.98988432491353,1.7006638707370099,1.158836273996369,STC,pullin,Newton Exchange @ Bay 5,STC
57210_55713,17.46714311791094,24.248538776501118,18.66775956694393,1.3882372528130535,1.0687357080049265,STC,interline,Westbound 88 Ave @ 212 St,Surrey Central Station @ Bay 5
57210_55738,17.183260753692696,24.49905174828316,18.63577274072,1.4257510317428137,1.0845306375691912,STC,interline,Westbound 88 Ave @ 212 St,Surrey Central Station @ Bay 7
STC_54990,5.212727918645549,8.26937228813938,5.936901897402217,1.5863809539263378,1.138924185197994,STC,pullout,STC,King George Station @ Bay 2
56394_STC,3.866890394844799,6.156924865836678,4.241110982177976,1.5922160281669406,1.0967755868726135,STC,pullin,Scottsdale Exchange @ Bay 1,STC
57143_54990,17.14124669594486,30.641996974238275,23.032919784180184,1.787617757201249,1.3437132195074892,STC,interline,Langley Centre @ Bay 5,King George Station @ Bay 2
61760_STC,14.438228468176318,20.499284281760904,14.727846626661345,1.4197922083684933,1.0200591200730327,STC,pullin,White Rock Centre @ Bay 10,STC
61710_57027,7.208761710073041,10.119552026116557,7.213283376407507,1.4037850650516261,1.0006272459149463,STC,interline,Carvolth Exchange @ Bay 2,Langley Centre @ Bay 3
61804_61337,15.989731007638712,25.34295370061947,17.590642660367724,1.584951847439615,1.100121237309384,VTC,interline,Brentwood Station @ Bay 5 New,Marine Drive Station @ Bay 1
60358_VTC,12.955868453752425,13.977312276375654,9.072525207091829,1.0788402434209177,0.7002637638285175,VTC,pullin,UBC Exchange @ Unloading Only,VTC
VTC_59803,11.618258689173745,20.581733225741505,14.110735764763476,1.771498963516814,1.2145310362139121,VTC,pullout,VTC,VCC-Clark Station @ Bay 1
58136_VTC,5.390072893672341,6.145809863918842,3.248656716059739,1.1402090445073008,0.602711091323735,VTC,pullin,Southbound Granville St @ W King Edward Ave,VTC
VTC_60164,12.76226094408777,21.29976577515857,16.411028507669393,1.6689649168336331,1.2859029116836815,VTC,pullout,VTC,UBC Exchange @ Bay 6
50640_61337,9.011539316155176,14.839546566757678,9.302427684179689,1.6467271623788524,1.0322795426862346,VTC,interline,Dunbar Loop @ Bay 2,Marine Drive Station @ Bay 1
61804_VTC,16.044447420211906,26.841031058886585,17.708522329706614,1.6729171379921592,1.103716560995326,VTC,pullin,Brentwood Station @ Bay 5 New,VTC
57377_RTC,13.88787178941333,16.004222204609473,12.835889252001085,1.1523883894729954,0.9242517101710165,RTC,pullin,South Delta Exchange @ Bay 1,RTC
58597_61326,20.91170224710208,23.285963791538943,19.091149373835776,1.1135374593795149,0.9129409527854867,RTC,interline,South Delta Exchange @ Bay 2,Bridgeport Station @ Bay 7
RTC_57377,13.304219041933754,15.612400870501016,12.522439296128404,1.1734924704179983,0.9412382084704674,RTC,pullout,RTC,South Delta Exchange @ Bay 1
56280_61329,36.73631959153827,36.36247835447392,29.096858788724656,0.9898236611282515,0.7920461034813824,RTC,interline,White Rock Centre @ Bay 1,Bridgeport Station @ Bay 10
61321_57349,26.95312797118071,32.20924905753352,25.27534762031573,1.1950096883735666,0.9377519242791069,RTC,interline,Bridgeport Station @ Bay 1 Unloading Only,Westbound 1A Ave @ 67 St
56081_61326,36.18030520001641,36.52652496913381,28.672996086081938,1.0095692882413065,0.792502880436424,RTC,interline,White Rock Centre @ Bay 5,Bridgeport Station @ Bay 7
61321_57359,25.166952120223907,33.06185922741568,26.225807924421208,1.3137013600009,1.0420732633470706,RTC,interline,Bridgeport Station @ Bay 1 Unloading Only,Westbound 2nd Ave @ 52A St
56280_61327,36.70568575578938,36.424221768283225,28.81972622944029,0.9923318695261875,0.7851570032278913,RTC,interline,White Rock Centre @ Bay 1,Bridgeport Station @ Bay 8
57377_61327,21.320079314040456,24.30508181263965,19.83943279253221,1.1400089772008213,0.9305515472199413,RTC,interline,South Delta Exchange @ Bay 1,Bridgeport Station @ Bay 8
61321_57377,21.86503056817453,25.699954237856613,20.69231089161485,1.1753907298562838,0.946365513969753,RTC,interline,Bridgeport Station @ Bay 1 Unloading Only,South Delta Exchange @ Bay 1
57518_61329,15.209708109942037,17.094799583211106,13.685366901511058,1.1239400164449476,0.8997784048574494,RTC,interline,Ladner Exchange @ Bay 7,Bridgeport Station @ Bay 10
