block_id,line_group,block_number,service_id,service_day,depot_code,asset_class,asset_class_new,total_distance_km,total_energy_require_medium_kwh,total_energy_require_heavy_kwh,avg_kwh_per_km_medium,avg_kwh_per_km_heavy,soc_left_medium_percent_depot_only,soc_left_heavy_percent_depot_only,medium_success_depot_only,heavy_success_depot_only,soc_left_medium_percent_on_route_charge,medium_success_on_route_charge,soc_left_heavy_percent_on_route_charge,heavy_success_on_route_charge,total_energy_received_medium,total_energy_received_heavy
2162439,503,55,3,SUN,STC,NG40LF,40-ft,468.53260015298116,638.3331865255174,894.8332025175681,1.362409331425592,1.909863267199326,-23.17964300097825,-68.65836924070356,FAILURE,FAILURE,9.46404402345164,FAILURE,-48.3458263084793,FAILURE,184.1103948177846,114.56274213774486
2162441,503,58,3,SUN,STC,NG40LF,40-ft,372.82013209043345,508.27518065741145,713.5693686262555,1.3633254669147568,1.9139775650665987,-0.1197128825197573,-36.519391600399906,FAILURE,FAILURE,35.921277121413674,SUCCESS,-10.707295897560519,FAILURE,203.27118362218457,145.5802197640143
2162442,801,26,1,MF,STC,NG40LF,40-ft,76.47115583034531,96.02778421602008,135.70450379603574,1.2557386268498678,1.7745841856647526,72.97379712481913,65.93891776666034,SUCCESS,SUCCESS,72.97379712481913,SUCCESS,65.93891776666032,SUCCESS,0.0,0.0
2162443,801,18,1,MF,STC,NG40LF,40-ft,104.12174679234056,143.05485835703317,206.25002635722365,1.3739191164583557,1.9808544584693415,64.63566341187355,53.43084639056319,SUCCESS,SUCCESS,64.63566341187355,SUCCESS,53.43084639056318,SUCCESS,0.0,0.0
2162444,502,45,1,MF,STC,NG40LF,40-ft,100.57286036745528,136.91709374773617,198.88428310038043,1.361372175828477,1.977514434547574,65.72391954827373,54.7368292375212,SUCCESS,SUCCESS,65.72391954827373,SUCCESS,54.7368292375212,SUCCESS,0.0,0.0
2162445,801,5,1,MF,STC,NG40LF,40-ft,122.33500334901699,169.82408594732766,248.47718607844882,1.388188836377649,2.031120932490214,59.889346463239775,45.94376133360837,SUCCESS,SUCCESS,59.889346463239775,SUCCESS,45.94376133360836,SUCCESS,0.0,0.0
2162446,320,41,2,SAT,STC,NG40LF,40-ft,424.2586671541777,609.90831853263,904.224647086508,1.4375859958825221,2.131305067146473,-18.1397727894734,-70.32351898696949,FAILURE,FAILURE,-18.139772789473422,FAILURE,-70.32351898696956,FAILURE,0.0,0.0
2162447,320,39,2,SAT,STC,NG40LF,40-ft,425.97897399510214,612.5674580561322,908.3722685523537,1.438022755703373,2.132434519086846,-18.61125142839223,-71.0589128638925,FAILURE,FAILURE,-18.61125142839223,FAILURE,-71.05891286389256,FAILURE,0.0,0.0
2162448,320,25,2,SAT,STC,NG40LF,40-ft,357.97600147258004,512.0902908872702,758.01645643341,1.4305157015574264,2.1175063504682226,-0.7961508665372579,-44.40008092790957,FAILURE,FAILURE,-0.7961508665372548,FAILURE,-44.40008092790963,FAILURE,0.0,0.0
2162449,320,26,2,SAT,STC,NG40LF,40-ft,353.5391510538187,507.67496079368044,752.2917317828258,1.4359794644537058,2.1278880416508823,-0.013290920865322376,-43.38505882674215,FAILURE,FAILURE,-0.013290920865329932,FAILURE,-43.38505882674218,FAILURE,0.0,0.0
2162450,320,80,2,SAT,STC,NG40LF,40-ft,168.57583288997733,237.3942609165982,349.24009521932425,1.4082342459582322,2.071709148530556,47.90881898641876,28.07799730153826,SUCCESS,SUCCESS,47.90881898641876,SUCCESS,28.07799730153825,SUCCESS,0.0,0.0
2162451,320,42,3,SUN,STC,NG40LF,40-ft,470.4994966951381,677.4784935019005,1004.9875562273833,1.4399133224596736,2.1360013417369683,-30.120300266294414,-88.18928301903958,FAILURE,FAILURE,-30.120300266294436,FAILURE,-88.18928301903968,FAILURE,0.0,0.0
2162452,320,41,3,SUN,STC,NG40LF,40-ft,472.2198035360625,680.1376330254027,1009.135177693229,1.4402988352720831,2.1370030865640377,-30.59177890521324,-88.92467689596259,FAILURE,FAILURE,-30.591778905213253,FAILURE,-88.92467689596269,FAILURE,0.0,0.0
2162453,320,52,3,SUN,STC,NG40LF,40-ft,378.01783761321735,542.3381435633595,803.4617379456326,1.4346892913510405,2.125459854007534,-6.159245312652389,-52.45775495489941,FAILURE,FAILURE,-6.159245312652401,FAILURE,-52.45775495489945,FAILURE,0.0,0.0
2162454,320,50,3,SUN,STC,NG40LF,40-ft,379.7381444541418,544.9972830868617,807.6093594114784,1.435192358329641,2.1267533199025457,-6.630723951571214,-53.19314883182241,FAILURE,FAILURE,-6.630723951571205,FAILURE,-53.193148831822455,FAILURE,0.0,0.0
2162478,601,8,1,MF,RTC,DS40SD,40-ft,551.4077923761812,647.9596080909008,877.2807317178281,1.175100564499912,1.590983558533627,-24.886455335266096,-65.5462290279837,FAILURE,FAILURE,21.535272196267535,SUCCESS,-28.60261244753221,FAILURE,261.8185432778497,208.3619975137461
2162480,601,43,1,MF,RTC,DS40SD,40-ft,260.1135596630884,316.6680704712905,434.3388474552407,1.2174223861357103,1.669804711518374,33.853178994452044,12.989566054035345,SUCCESS,FAILURE,33.853178994452044,SUCCESS,22.278776334374086,SUCCESS,0.0,52.39114598111047
2162481,601,51,1,MF,RTC,DS40SD,40-ft,165.898125706505,175.48828608404457,226.73151491885508,1.0578075269789713,1.3666912386941137,58.88505565885735,49.79937678743705,SUCCESS,SUCCESS,58.885055658857354,SUCCESS,49.79937678743704,SUCCESS,0.0,0.0
2162482,601,44,1,MF,RTC,DS40SD,40-ft,179.1124350900338,212.16164796363336,288.22265084595693,1.1845165739441084,1.609171639596531,52.382686531270686,38.89669311241899,SUCCESS,SUCCESS,52.38268653127069,SUCCESS,38.89669311241899,SUCCESS,0.0,0.0
2162483,601,32,1,MF,RTC,DS40SD,40-ft,128.79446220724975,144.54194898617362,191.9163475177285,1.1222683530723843,1.4900978212006204,64.37199486060751,55.9722788089134,SUCCESS,SUCCESS,64.37199486060753,SUCCESS,55.97227880891341,SUCCESS,0.0,0.0
2162484,601,4,1,MF,RTC,DS40SD,40-ft,423.4876451070864,517.1872618475654,711.665614747585,1.2212570256135464,1.680487312841506,-1.6998691219087592,-36.181846586451236,FAILURE,FAILURE,26.198946387639445,SUCCESS,-17.199526734535496,FAILURE,157.34931947385172,107.06028396480463
2162485,601,47,1,MF,RTC,DS40SD,40-ft,115.00156305180721,134.91562350734958,182.35142654936374,1.1731633894973346,1.585643027018824,66.07879015827136,57.66818678202771,SUCCESS,SUCCESS,66.07879015827136,SUCCESS,57.66818678202772,SUCCESS,0.0,0.0
2162486,601,35,1,MF,RTC,DS40HF,40-ft,117.71583258644841,138.91412832850017,188.9801572348456,1.1800802430419384,1.605392860778196,65.3698354027482,56.49287992289972,SUCCESS,SUCCESS,65.3698354027482,SUCCESS,56.49287992289971,SUCCESS,0.0,0.0
2162487,601,33,1,MF,RTC,DS40SD,40-ft,137.24358397238174,158.6169236815644,213.50121013245487,1.1557328881289177,1.555637093938168,61.87643197135383,52.14517550843,SUCCESS,SUCCESS,61.87643197135385,SUCCESS,52.145175508429986,SUCCESS,0.0,0.0
