block_id,line_group,block_number,service_id,service_day,depot_code,asset_class,asset_class_new,total_distance_km,total_energy_require_medium_kwh,total_energy_require_heavy_kwh,avg_kwh_per_km_medium,avg_kwh_per_km_heavy,soc_left_medium_percent_depot_only,soc_left_heavy_percent_depot_only,medium_success_depot_only,heavy_success_depot_only,soc_left_medium_percent_on_route_charge,medium_success_on_route_charge,soc_left_heavy_percent_on_route_charge,heavy_success_on_route_charge,total_energy_received_medium,total_energy_received_heavy
2161036,183,2,1,MF,PCT,NG40LF,40-ft,249.06010011450815,338.7234557933456,475.0708281631497,1.3600069045086456,1.9074545780104104,29.942649682030932,5.7675836590160126,SUCCESS,FAILURE,68.12728634341381,SUCCESS,71.18914510104418,SUCCESS,215.36135077019912,368.9776065330389
2161037,701,1,1,MF,PCT,NG40LF,40-ft,316.3472737206761,430.86392471898586,614.4323475745085,1.3619966426498242,1.9422716698264686,13.605687106562794,-18.94190559831711,FAILURE,FAILURE,59.824405370955205,SUCCESS,41.292276488925246,SUCCESS,260.6735710111731,339.72078697204677
2161038,183,53,1,MF,PCT,NG40LF,40-ft,76.2678399632663,103.68188722116741,142.97280649868094,1.3594443905990368,1.8746146025315844,71.6166866629136,64.65021161370905,SUCCESS,SUCCESS,71.6166866629136,SUCCESS,66.61775267996647,SUCCESS,0.0,11.096931613691936
2161040,183,10,1,MF,PCT,NG40LF,40-ft,311.18715260084866,449.26305178511564,646.3436449992256,1.4437069397957223,2.077025479995548,10.34343053455397,-24.59993705660028,FAILURE,FAILURE,65.83190999030485,SUCCESS,65.13814201317858,SUCCESS,312.9550241304349,506.12276595355286
2161041,183,56,1,MF,PCT,NG40LF,40-ft,49.32947812480081,65.69566267352823,90.79941673878358,1.331772910861167,1.840672559094709,78.35183285930351,73.90081263496745,SUCCESS,SUCCESS,78.35183285930351,SUCCESS,73.90081263496745,SUCCESS,0.0,0.0
2161042,181,4,1,MF,XNE,GS28CS,28-ft Shuttle,66.3526610152196,92.60526209983843,128.20817338250976,1.3956525734302827,1.9322235373966705,73.58062728726269,67.26805436480325,SUCCESS,SUCCESS,73.5806272872627,SUCCESS,67.26805436480322,SUCCESS,0.0,0.0
2161043,153,2,2,SAT,XNE,GS28CS,28-ft Shuttle,265.9676497814519,371.9959914891898,514.1082586845565,1.3986512712913108,1.9329728976700893,24.043263920356424,-1.1539465752759743,SUCCESS,FAILURE,64.19314579063537,SUCCESS,52.50660907154149,SUCCESS,226.44533374837306,302.6455338480508
2161044,153,6,2,SAT,XNE,GS28CS,28-ft Shuttle,376.58868747300977,534.3919488519136,739.689633128118,1.41903346177974,1.9641844211826776,-4.750345541119436,-41.15064417165212,FAILURE,FAILURE,71.20918985582205,SUCCESS,69.38055285628214,SUCCESS,428.4117796387496,623.3959512375498
2161045,153,2,3,SUN,XNE,GS28CS,28-ft Shuttle,342.76744397513625,482.5377493979423,667.5695978032534,1.4077700723320292,1.9475875248282848,4.44366145426555,-28.36340386582506,FAILURE,FAILURE,69.93006413743915,SUCCESS,72.09589645781462,SUCCESS,369.34331113309884,566.5904538253283
2161046,153,3,3,SUN,XNE,GS28CS,28-ft Shuttle,356.06040201122465,503.68798099665395,700.1642335591297,1.4146138636915189,1.966419825412255,0.6936203906641976,-34.142594602682564,FAILURE,FAILURE,73.88157877565529,SUCCESS,70.1903114688058,SUCCESS,412.7800852913495,588.4375902431949
2161047,153,11,3,SUN,XNE,GS28CS,28-ft Shuttle,303.8804736587147,431.92471854134135,602.1570604711693,1.4213638452677677,1.981558911045552,13.417603095506859,-16.765436253753418,FAILURE,FAILURE,72.76189259876028,SUCCESS,64.3358456079254,SUCCESS,334.7017927983492,457.4112296998688
2161048,153,6,3,SUN,XNE,GS28CS,28-ft Shuttle,343.6182946664023,485.8008373090746,676.7589359807126,1.4137804792399327,1.969507871045504,3.8650997678945767,-29.99271914551642,FAILURE,FAILURE,68.6667018429306,SUCCESS,69.9274901672367,SUCCESS,365.48103570320313,563.5499805239277
2161049,153,12,2,SAT,XNE,GS28CS,28-ft Shuttle,222.10568284145944,313.8841885645781,440.05751890384767,1.4132199795564473,1.9812978815943387,34.346775077202466,11.975617215629851,SUCCESS,FAILURE,68.109528485899,SUCCESS,71.97649749165896,SUCCESS,190.42192922504836,338.4049647568042
2161050,153,9,2,SAT,XNE,GS28CS,28-ft Shuttle,290.8540771314274,416.2416879430966,582.3800134765587,1.4311014376979514,2.002309952881975,16.198282279592803,-13.258867637687711,FAILURE,FAILURE,73.1703611999104,SUCCESS,69.75345040617336,SUCCESS,321.3225251105912,468.1894737673765
2161051,153,11,2,SAT,XNE,GS28CS,28-ft Shuttle,199.27128506483615,278.37974444625786,389.61976593442733,1.3969887550817093,1.9552228300613317,40.6418892825784,20.918481217300123,SUCCESS,SUCCESS,68.90987432963162,SUCCESS,73.27046835431463,SUCCESS,159.4314356653801,295.2652074527619
2161052,153,13,2,SAT,XNE,GS28CS,28-ft Shuttle,116.74515742913134,165.26216119766403,229.9456015900015,1.4155804389401274,1.9696371708572755,60.69819836920851,49.22950326418413,SUCCESS,SUCCESS,68.1107218755699,SUCCESS,66.15161242656855,SUCCESS,41.806632575878155,95.44069567584819
2161053,153,9,3,SUN,XNE,GS28CS,28-ft Shuttle,279.33500030962705,394.1813718990372,552.2021545256249,1.4111420747923082,1.976845557891206,20.109685833504052,-7.908183426529234,SUCCESS,FAILURE,73.2241713186177,SUCCESS,69.05674731485443,SUCCESS,299.56569813604085,434.082209381404
2161054,153,12,3,SUN,XNE,GS28CS,28-ft Shuttle,209.66657508549102,294.05380052198154,412.9172891869595,1.4024829680271251,1.969399695772173,37.8628013258898,16.78771468316321,SUCCESS,FAILURE,66.22027538994956,SUCCESS,67.9724305369145,SUCCESS,159.936153721297,288.68179741515723
2161055,153,13,3,SUN,XNE,GS28CS,28-ft Shuttle,85.2655428284784,118.47730302747865,165.10011993657102,1.389509749158691,1.9363052700982528,68.9933859880357,60.72692908926046,SUCCESS,SUCCESS,68.9933859880357,SUCCESS,67.27390419005204,SUCCESS,0.0,36.92493956846454
2161056,151,40,1,MF,PCT,NG40LF,40-ft,73.12112305889319,110.9868158565535,151.24203089456662,1.5178488952797202,2.0683767503509665,70.32148655025648,63.184037075431455,SUCCESS,SUCCESS,70.3214865502565,SUCCESS,71.17987217379088,SUCCESS,0.0,45.09650995474709
2161057,151,33,1,MF,PCT,NG40LF,40-ft,82.40537242653893,126.01855801517428,172.95288724978812,1.529251726002631,2.0988059656422116,67.65628403986273,59.33459445925744,SUCCESS,SUCCESS,67.65628403986274,SUCCESS,67.05495986666207,SUCCESS,0.0,43.54286089776207
2161061,183,55,1,MF,PCT,NG40LF,40-ft,50.64744443326902,66.75098046854073,94.16204386531777,1.3179535752586502,1.8591667342541198,78.16471977508144,73.30460215153941,SUCCESS,SUCCESS,78.16471977508145,SUCCESS,73.30460215153941,SUCCESS,0.0,0.0
