dist_km,soc_pct,net_energy_kwh,phase,cum_used_kwh,cum_charged_kwh,charge_kwh,charge_duration_sec,block_id,mode,stop_code,candidate_name,event_type,start_sec,end_sec
203.0,37.60217630936988,212.0762743848461,drive,295.5237256151539,0.0,0.0,0.0,2159900,heavy,,,,,
222.5,31.7057202643306,178.8202622908246,drive,328.77973770917544,0.0,0.0,0.0,2159900,heavy,,,,,
239.0,25.786174751488634,145.43402559839586,drive,362.16597440160416,0.0,0.0,0.0,2159900,heavy,,,,,
239.0,32.52001099405237,183.41286200645533,charge,362.16597440160416,37.978836408059465,37.978836408059465,540.0,2159900,heavy,51843,Burrard Station,in_service_layover,85770.0,86310.0
256.5,26.62355494901309,150.1568499124338,drive,395.4219864956257,37.978836408059465,0.0,0.0,2159900,heavy,,,,,
270.5,20.70400943617112,116.77061322000509,drive,428.8082231880544,37.978836408059465,0.0,0.0,2159900,heavy,,,,,
287.5,16.57495824168548,93.48276448310605,drive,452.09607192495343,37.978836408059465,0.0,0.0,2159900,heavy,,,,,
309.5,8.494067801040837,47.90654239787028,drive,497.6722940101892,37.978836408059465,0.0,0.0,2159900,heavy,,,,,
332.5,0.36070503569335666,2.03437640131051,drive,543.544460006749,37.978836408059465,0.0,0.0,2159900,heavy,,,,,
354.5,-7.720185404951284,-43.5418456839252,drive,589.1206820919847,37.978836408059465,0.0,0.0,2159900,heavy,,,,,
377.5,-15.853548170298765,-89.41401168048503,drive,634.9928480885445,37.978836408059465,0.0,0.0,2159900,heavy,,,,,
380.5,-16.400543586930695,-92.49906583028917,drive,638.0779022383487,37.978836408059465,0.0,0.0,2159900,heavy,,,,,
0.0,90.0,507.6,start,0.0,0.0,0.0,0.0,2159901,heavy,,,,,
9.5,86.9102351196788,490.17372607498845,drive,17.426273925011596,0.0,0.0,0.0,2159901,heavy,,,,,
13.0,86.30559574614315,486.76356000824734,drive,20.836439991752684,0.0,0.0,0.0,2159901,heavy,,,,,
37.5,80.62230813878443,454.70981790274425,drive,52.89018209725579,0.0,0.0,0.0,2159901,heavy,,,,,
59.95833333333333,74.74512781700373,421.562520887901,drive,86.03747911209902,0.0,0.0,0.0,2159901,heavy,,,,,
67.0,73.47060313093698,414.3742016584845,drive,93.22579834151551,0.0,0.0,0.0,2159901,heavy,,,,,
0.0,90.0,507.6,start,0.0,0.0,0.0,0.0,2159902,heavy,,,,,
8.0,86.9102351196788,490.17372607498845,drive,17.426273925011596,0.0,0.0,0.0,2159902,heavy,,,,,
10.5,86.30559574614315,486.76356000824734,drive,20.836439991752684,0.0,0.0,0.0,2159902,heavy,,,,,
29.5,80.38959941868626,453.39734072139044,drive,54.20265927860957,0.0,0.0,0.0,2159902,heavy,,,,,
49.0,74.49314337364697,420.1413286273689,drive,87.4586713726311,0.0,0.0,0.0,2159902,heavy,,,,,
73.5,68.57714704619008,386.775109340512,drive,120.82489065948799,0.0,0.0,0.0,2159902,heavy,,,,,
96.0,62.6806910011508,353.5190972464905,drive,154.08090275350952,0.0,0.0,0.0,2159902,heavy,,,,,
119.0,56.7646946736939,320.1528779596336,drive,187.44712204036642,0.0,0.0,0.0,2159902,heavy,,,,,
141.0,50.86823862865463,286.8968658656121,drive,220.70313413438794,0.0,0.0,0.0,2159902,heavy,,,,,
163.5,44.95224230119773,253.53064657875518,drive,254.06935342124484,0.0,0.0,0.0,2159902,heavy,,,,,
187.5,39.055786256158456,220.27463448473367,drive,287.32536551526636,0.0,0.0,0.0,2159902,heavy,,,,,
211.0,33.13978992870155,186.90841519787676,drive,320.69158480212326,0.0,0.0,0.0,2159902,heavy,,,,,
237.0,27.24333388366228,153.65240310385525,drive,353.9475968961448,0.0,0.0,0.0,2159902,heavy,,,,,
260.5,21.327337556205382,120.28618381699835,drive,387.3138161830017,0.0,0.0,0.0,2159902,heavy,,,,,
287.5,15.430881511166106,87.03017172297683,drive,420.5698282770232,0.0,0.0,0.0,2159902,heavy,,,,,
311.5,9.51488518370921,53.66395243611993,drive,453.9360475638801,0.0,0.0,0.0,2159902,heavy,,,,,
334.9583333333333,3.6377048619284933,20.51665542127671,drive,487.0833445787233,0.0,0.0,0.0,2159902,heavy,,,,,
342.5,2.3631801758617392,13.328336191860217,drive,494.2716638081398,0.0,0.0,0.0,2159902,heavy,,,,,
