block_id,line_group,block_number,service_id,depot_code,asset_class_new,service_day,total_distance_km,total_energy_require_medium_kwh,total_energy_require_heavy_kwh,soc_left_medium_percent_depot_only,soc_left_heavy_percent_depot_only,medium_success_depot_only,heavy_success_depot_only,soc_left_medium_percent_on_route_charge,soc_left_heavy_percent_on_route_charge,total_energy_received_medium,total_energy_received_heavy,medium_success_on_route_charge,heavy_success_on_route_charge
2161771,321.0,60.0,3,STC,40-ft,SUN,399.5710929587507,613.4087610016655,902.3869796435923,-18.76041861731658,-69.99769142616886,FAILURE,FAILURE,67.12604767405116,22.871604831380232,484.3996698833141,523.782830892577,SUCCESS,FAILURE
2161772,321.0,78.0,3,STC,40-ft,SUN,236.80882881991033,361.99216234763765,544.3459373654174,25.816992491553613,-6.515237121527903,SUCCESS,FAILURE,63.992026052292736,51.97402547620573,215.3071892825687,329.8794410512177,SUCCESS,SUCCESS
2161773,975.0,1.0,1,XHT,28-ft Shuttle,MF,294.0108301078444,416.6341008392945,602.9207622552082,16.12870552494779,-16.900844371490805,FAILURE,FAILURE,66.6599811606963,65.1539311665794,284.9963945856216,462.78893403471596,SUCCESS,SUCCESS
2161774,975.0,2.0,1,XHT,28-ft Shuttle,MF,264.71488615181045,373.9099632235317,540.6358251074629,23.70390722987027,-5.857415799195544,SUCCESS,FAILURE,68.52587890418711,62.90434881556992,252.79592024314695,387.81635242727725,SUCCESS,SUCCESS
2161775,975.0,5.0,1,XHT,28-ft Shuttle,MF,352.60271801991234,502.0823760708201,727.4906365506987,0.978302115102825,-38.98770151608132,FAILURE,FAILURE,65.8561678298535,62.24334612633049,365.91116263119386,570.9431087032028,SUCCESS,SUCCESS
2161776,975.0,3.0,1,XHT,28-ft Shuttle,MF,352.60271801991234,502.0823760708201,727.4906365506987,0.978302115102825,-38.98770151608132,FAILURE,FAILURE,64.76698012890937,64.13236495834992,359.7681439978689,581.5971749157925,SUCCESS,SUCCESS
2161777,975.0,7.0,1,XHT,28-ft Shuttle,MF,335.6196910020156,478.10824334027217,692.4406484493489,5.229034868746074,-32.773164618678884,FAILURE,FAILURE,71.35640073894281,64.85515772026886,372.95834350790955,550.6237379916654,SUCCESS,SUCCESS
2161778,975.0,11.0,1,XHT,28-ft Shuttle,MF,82.59464689258155,110.73556543076063,156.57585703956013,70.36603449809209,62.238323219936156,SUCCESS,SUCCESS,70.36603449809209,62.23832321993614,0.0,0.0,SUCCESS,SUCCESS
2161779,975.0,6.0,1,XHT,28-ft Shuttle,MF,264.71488615181045,373.9099632235317,540.6358251074629,23.70390722987027,-5.857415799195544,SUCCESS,FAILURE,67.15152729909428,66.59833468719624,245.0445771904234,408.65043274324967,SUCCESS,SUCCESS
2161780,975.0,4.0,1,XHT,28-ft Shuttle,MF,258.3703106287852,367.08039112533737,530.285479926032,24.914824268557208,-4.022248213835466,SUCCESS,FAILURE,71.12955815822221,69.69157100443711,260.6510991377106,415.7459403910574,SUCCESS,SUCCESS
