dist_km,soc_pct,net_energy_kwh,phase,cum_used_kwh,cum_charged_kwh,stop_code,charge_kwh,charge_duration_sec,candidate_name,event_type,start_sec,end_sec,block_id,mode
172.5,66.56857581271018,375.4467675836853,drive,159.92424644395436,27.771014027639637,,0.0,0.0,,,,,2159696,medium
188.5,64.23505586868534,362.2857150993852,drive,173.08529892825447,27.771014027639637,,0.0,0.0,,,,,2159696,medium
205.0,62.130175234105344,350.41418832035407,drive,184.9568257072856,27.771014027639637,,0.0,0.0,,,,,2159696,medium
218.0,60.064768848239694,338.7652963040718,drive,196.60571772356786,27.771014027639637,,0.0,0.0,,,,,2159696,medium
218.0,70.3455407243348,396.7488496852482,charge,196.60571772356786,85.75456740881606,61338,57.98355338117642,900.0,Marine Drive Station,in_service_layover,49410.0,50310.0,2159696,medium
232.5,68.26660583032877,385.02365688305423,drive,208.33091052576188,85.75456740881606,,0.0,0.0,,,,,2159696,medium
249.0,65.93308588630393,371.86260439875406,drive,221.491963010062,85.75456740881606,,0.0,0.0,,,,,2159696,medium
266.0,63.82820525172394,359.99107761972294,drive,233.3634897890931,85.75456740881606,,0.0,0.0,,,,,2159696,medium
281.5,61.762798865858294,348.34218560344067,drive,245.01238180537538,85.75456740881606,,0.0,0.0,,,,,2159696,medium
281.5,66.85449655364037,377.0593605625316,charge,245.01238180537538,114.47174236790698,61338,28.717174959090926,420.0,Marine Drive Station,in_service_layover,58590.0,59010.0,2159696,medium
297.0,64.77556165963435,365.3341677603376,drive,256.7375746075694,114.47174236790698,,0.0,0.0,,,,,2159696,medium
314.5,62.442041715609506,352.1731152760375,drive,269.8986270918695,114.47174236790698,,0.0,0.0,,,,,2159696,medium
332.0,60.33716108102952,340.3015884970064,drive,281.77015387090063,114.47174236790698,,0.0,0.0,,,,,2159696,medium
346.0,58.27175469516387,328.6526964807241,drive,293.4190458871829,114.47174236790698,,0.0,0.0,,,,,2159696,medium
351.0,57.917340010552856,326.653797659518,drive,295.41794470838903,114.47174236790698,,0.0,0.0,,,,,2159696,medium
0.0,90.0,507.6,start,0.0,0.0,,0.0,0.0,,,,,2159698,medium
4.5,89.4717976247628,504.6209386036622,drive,2.9790613963378383,0.0,,0.0,0.0,,,,,2159698,medium
16.0,87.39286273075678,492.8957458014682,drive,14.704254198531853,0.0,,0.0,0.0,,,,,2159698,medium
28.5,85.05934278673193,479.7346933171681,drive,27.86530668283196,0.0,,0.0,0.0,,,,,2159698,medium
42.0,82.95446215215195,467.86316653813697,drive,39.736833461863064,0.0,,0.0,0.0,,,,,2159698,medium
56.0,80.88905576628629,456.2142745218547,drive,51.38572547814533,0.0,,0.0,0.0,,,,,2159698,medium
70.5,78.81012087228027,444.4890817196607,drive,63.11091828033935,0.0,,0.0,0.0,,,,,2159698,medium
85.5,76.47660092825542,431.32802923536053,drive,76.27197076463946,0.0,,0.0,0.0,,,,,2159698,medium
101.5,74.37172029367544,419.4565024563295,drive,88.14349754367056,0.0,,0.0,0.0,,,,,2159698,medium
114.0,72.30631390780978,407.8076104400472,drive,99.79238955995282,0.0,,0.0,0.0,,,,,2159698,medium
127.0,70.22737901380376,396.08241763785315,drive,111.51758236214684,0.0,,0.0,0.0,,,,,2159698,medium
142.5,67.89385906977891,382.9213651535531,drive,124.67863484644695,0.0,,0.0,0.0,,,,,2159698,medium
159.0,65.78897843519893,371.049838374522,drive,136.55016162547807,0.0,,0.0,0.0,,,,,2159698,medium
173.0,63.72357204933328,359.4009463582397,drive,148.19905364176034,0.0,,0.0,0.0,,,,,2159698,medium
187.5,61.64463715532725,347.67575355604566,drive,159.92424644395436,0.0,,0.0,0.0,,,,,2159698,medium
203.5,59.31111721130241,334.51470107174555,drive,173.08529892825447,0.0,,0.0,0.0,,,,,2159698,medium
220.5,57.206236576722425,322.64317429271443,drive,184.9568257072856,0.0,,0.0,0.0,,,,,2159698,medium
236.0,55.14083019085677,310.99428227643216,drive,196.60571772356786,0.0,,0.0,0.0,,,,,2159698,medium
236.0,59.87924019166163,337.7189146809715,charge,196.60571772356786,26.724632404539364,61338,26.724632404539364,360.0,Marine Drive Station,in_service_layover,54990.0,55350.0,2159698,medium
252.0,57.8003052976556,325.99372187877754,drive,208.33091052576188,26.724632404539364,,0.0,0.0,,,,,2159698,medium
268.5,55.466785353630755,312.83266939447736,drive,221.491963010062,26.724632404539364,,0.0,0.0,,,,,2159698,medium
286.0,53.36190471905078,300.96114261544625,drive,233.3634897890931,26.724632404539364,,0.0,0.0,,,,,2159698,medium
301.0,51.29649833318513,289.312250599164,drive,245.01238180537538,26.724632404539364,,0.0,0.0,,,,,2159698,medium
301.0,59.1389646549567,333.5437606539557,charge,245.01238180537538,70.95614245933109,61338,44.23151005479173,600.0,Marine Drive Station,in_service_layover,63930.0,64530.0,2159698,medium
315.5,57.060029760950684,321.8185678517617,drive,256.7375746075694,70.95614245933109,,0.0,0.0,,,,,2159698,medium
332.0,54.72650981692584,308.6575153674616,drive,269.8986270918695,70.95614245933109,,0.0,0.0,,,,,2159698,medium
347.0,52.14010256014665,294.070178439227,drive,284.4859640201041,70.95614245933109,,0.0,0.0,,,,,2159698,medium
0.0,90.0,507.6,start,0.0,0.0,,0.0,0.0,,,,,2159699,medium
13.0,87.80157526167821,495.2008844758651,drive,12.399115524134888,0.0,,0.0,0.0,,,,,2159699,medium
24.5,85.69669462709822,483.32935769683405,drive,24.270642303165992,0.0,,0.0,0.0,,,,,2159699,medium
33.0,83.63128824123257,471.6804656805518,drive,35.91953431944826,0.0,,0.0,0.0,,,,,2159699,medium
42.5,81.55235334722654,459.95527287835773,drive,47.644727121642276,0.0,,0.0,0.0,,,,,2159699,medium
55.0,79.2188334032017,446.7942203940576,drive,60.805779605942384,0.0,,0.0,0.0,,,,,2159699,medium
69.0,77.11395276862171,434.92269361502656,drive,72.67730638497349,0.0,,0.0,0.0,,,,,2159699,medium
81.0,75.04854638275606,423.2738015987443,drive,84.32619840125575,0.0,,0.0,0.0,,,,,2159699,medium
95.5,72.96961148875005,411.54860879655024,drive,96.05139120344977,0.0,,0.0,0.0,,,,,2159699,medium
110.5,70.6360915447252,398.3875563122501,drive,109.21244368774987,0.0,,0.0,0.0,,,,,2159699,medium
127.0,68.53121091014522,386.51602953321907,drive,121.08397046678097,0.0,,0.0,0.0,,,,,2159699,medium
